date,gdp_observed,gdp_nowcast
2000-01-01,,1.42195296203354
2000-02-01,,1.2093523131322095
2000-03-01,1.048281,1.028752266796185
2000-04-01,,1.054822217594146
2000-05-01,,1.108771358574737
2000-06-01,0.784812,1.192038546401431
2000-07-01,,0.7242721951704627
2000-08-01,,0.2755690623803905
2000-09-01,-0.095938,-0.16603803959775712
2000-10-01,,-0.3005827312088827
2000-11-01,,-0.44339771355297164
2000-12-01,-0.526586,-0.5982919497618665
2001-01-01,,-0.5763674493136852
2001-02-01,,-0.570068587100146
2001-03-01,-0.62329,-0.5792273686044965
2001-04-01,,-0.5415391010871666
2001-05-01,,-0.5185475784057587
2001-06-01,-0.032486,-0.5096396025554062
2001-07-01,,-0.3824062769451703
2001-08-01,,-0.2656255261946099
2001-09-01,0.473782,-0.1561827360887672
2001-10-01,,-0.433152348061494
2001-11-01,,-0.7219279637204482
2001-12-01,-1.11357,-1.0302114057691476
2002-01-01,,-0.9831762943721831
2002-02-01,,-0.9626166625017373
2002-03-01,-0.320862,-0.9679841721717423
2002-04-01,,-0.863188216251972
2002-05-01,,-0.7816675842565617
2002-06-01,-0.353595,-0.7212480709539697
2002-07-01,,-0.7217501866543786
2002-08-01,,-0.7417553873211945
2002-09-01,-0.711647,-0.7817972239203895
2002-10-01,,-0.6344211787853048
2002-11-01,,-0.5042191004397099
2002-12-01,-0.393608,-0.38771841963374254
2003-01-01,,-0.20949597369704068
2003-02-01,,-0.03711447882972362
2003-03-01,0.242252,0.13402358511479665
2003-04-01,,0.04920542597718252
2003-05-01,,-0.034553959303609716
2003-06-01,-0.133657,-0.11948848488171054
2003-07-01,,-0.5209862474344373
2003-08-01,,-0.936632597616241
2003-09-01,-1.37201,-1.3775130783984677
2003-10-01,,-0.9714637070431622
2003-11-01,,-0.5915774333299083
2003-12-01,-0.441289,-0.22772245744949018
2004-01-01,,-0.28366749998196833
2004-02-01,,-0.34743169366070537
2004-03-01,-0.972507,-0.42071566862175247
2004-04-01,,0.051153711159310375
2004-05-01,,0.5241338267573991
2004-06-01,0.789994,1.010839347815978
2004-07-01,,1.2271461487954176
2004-08-01,,1.475928124845812
2004-09-01,2.009968,1.7638204437842178
2004-10-01,,1.3968041839954624
2004-11-01,,1.066787983085307
2004-12-01,0.929515,0.7649701066590432
2005-01-01,,0.9550299830464423
2005-02-01,,1.1703075295434533
2005-03-01,1.567289,1.4165443302910532
2005-04-01,,1.0450572570298111
2005-05-01,,0.7011889364665382
2005-06-01,-0.026704,0.37576818968333553
2005-07-01,,0.493860292271681
2005-08-01,,0.6248703865965924
2005-09-01,1.28531,0.7722925921894546
2005-10-01,,0.6093076532107418
2005-11-01,,0.4623197578598452
2005-12-01,0.069514,0.327408648856826
2006-01-01,,0.13791240391428408
2006-02-01,,-0.048159197688039966
2006-03-01,-0.837259,-0.2357687996360768
2006-04-01,,-0.2196768089487544
2006-05-01,,-0.20969729844834134
2006-06-01,0.077472,-0.2055641084718525
2006-07-01,,0.2610343564652085
2006-08-01,,0.7343412026969353
2006-09-01,1.169795,1.2269798139730934
2006-10-01,,1.0421088141284858
2006-11-01,,0.8847779302021265
2006-12-01,0.367899,0.7507910510679996
2007-01-01,,0.8794394179499999
2007-02-01,,1.0312894082296937
2007-03-01,1.637061,1.210390954239477
2007-04-01,,1.0337427885865882
2007-05-01,,0.8844116118219532
2007-06-01,0.639141,0.7584146699137797
2007-07-01,,0.8198800123794667
2007-08-01,,0.9029584923833868
2007-09-01,0.560964,1.009865863918507
2007-10-01,,1.0613820550930653
2007-11-01,,1.1409523913378576
2007-12-01,1.411113,1.2506990623011278
2008-01-01,,0.674012536144145
2008-02-01,,0.11504877251014131
2008-03-01,-0.385789,-0.4411001348497417
2008-04-01,,-0.4540414995687992
2008-05-01,,-0.47934599445087833
2008-06-01,-0.47417,-0.5176885058874048
2008-07-01,,-0.1528763603826069
2008-08-01,,0.20760491385055665
2008-09-01,0.895747,0.573369573388932
2008-10-01,,0.5686759237017023
2008-11-01,,0.5788956445070006
2008-12-01,0.565713,0.6043013020239042
2009-01-01,,0.6642464869129515
2009-02-01,,0.7416539678049058
2009-03-01,0.984253,0.8385882496698118
2009-04-01,,0.3158049015865493
2009-05-01,,-0.19880930118657889
2009-06-01,-1.29129,-0.7189794349217729
2009-07-01,,-0.6340614073486512
2009-08-01,,-0.5663077512402458
2009-09-01,-0.541531,-0.5139114350517662
2009-10-01,,-0.4106190233352663
2009-11-01,,-0.3185316377204901
2009-12-01,-0.191289,-0.23519325117891907
2010-01-01,,-0.08755928310840189
2010-02-01,,0.05748586018401868
2010-03-01,0.210337,0.20381062158987756
2010-04-01,,0.36421409806772526
2010-05-01,,0.5340778228031191
2010-06-01,0.933402,0.7179321654697094
2010-07-01,,0.631939389442918
2010-08-01,,0.5625472593236412
2010-09-01,0.365123,0.507905044460752
2010-10-01,,0.4224221655313664
2010-11-01,,0.34795197970323827
2010-12-01,0.663948,0.28250832146638344
2011-01-01,,0.3365769321212799
2011-02-01,,0.3993686908749659
2011-03-01,0.812362,0.47255829242789016
2011-04-01,,0.5687466214114949
2011-05-01,,0.6798502064388895
2011-06-01,0.731017,0.8088322482348076
2011-07-01,,0.6163963172761885
2011-08-01,,0.4401464889617165
2011-09-01,0.1553,0.2753820723202862
2011-10-01,,0.38861501987965447
2011-11-01,,0.5119590032402782
2011-12-01,1.354638,0.6487036820544151
2012-01-01,,0.2436132515490796
2012-02-01,,-0.15523342920971253
2012-03-01,-0.575447,-0.5584738457107589
2012-04-01,,-0.8806171822174775
