date,factor_1,factor_2,factor_3
2000-01-01,0.6921467734772985,-1.758623100015992,-0.19008455526172988
2000-02-01,-0.5200946297005898,-1.0324373268479918,0.39553723562181264
2000-03-01,-1.7844924535613558,-0.14617392397782114,0.5613564456784551
2000-04-01,-2.8845041476354245,-0.39583995631468,-0.22139203731271134
2000-05-01,-2.733201645614232,0.46096368306070085,-0.4891450364675404
2000-06-01,-1.8031975490551413,1.8202032601029448,-1.2502514470269201
2000-07-01,-1.0161080892012866,1.9510314831554645,0.2115602534190853
2000-08-01,-0.15537886452953661,2.4772926293193605,1.222234431584238
2000-09-01,0.44378122077636906,2.186587977678932,0.09031700600864079
2000-10-01,0.5762592026757147,1.9767214901166636,-0.9895004842079593
2000-11-01,0.3496998123515408,1.8942494469148796,-0.6598044728433593
2000-12-01,1.3032979805911469,-0.1932377426911424,-0.4937494465967064
2001-01-01,1.9096030427284751,-1.0510055025656364,-1.483708491943423
2001-02-01,2.378037399842827,1.6793181743646026,-1.461756493314844
2001-03-01,1.2618881682923855,0.2508077818528191,-0.9163889110311654
2001-04-01,1.5927919861818698,0.6454873631601684,-1.5247221522321575
2001-05-01,1.953067165369117,0.10981033736007012,-1.0709023478722903
2001-06-01,1.0108201597462392,0.9262753443706875,-0.19255473770307413
2001-07-01,1.2167472644987005,0.6449929529852462,0.9383213972160789
2001-08-01,1.30580164231282,-0.06235072998259772,-0.4174924626113904
2001-09-01,-0.18106556597661377,-0.5397189463716474,-0.1104172201775949
2001-10-01,1.461856743619022,0.5199765988011971,-0.5585708538526806
2001-11-01,2.23979575364033,-1.9800272390951164,0.09956856017192645
2001-12-01,1.6869367745087331,-2.248197652476601,0.35433454519675384
2002-01-01,1.724030260528946,-3.6627172657338787,0.06691649730417198
2002-02-01,2.1200317963627633,-1.8883688790344515,-1.9644773945426837
2002-03-01,1.2553540275416437,-1.3804633619137157,-2.146615629112384
2002-04-01,0.9475285643173251,-0.05219603357496698,-1.374503057487082
2002-05-01,1.1498943973347864,0.21342488398363793,-1.0133233105883508
