date,observed,level,slope,seasonal,intervention,irregular
1969-01-01,7.430707082545968,7.430702867699373,0.0,0.0,0.0,4.214846595296251e-06
1969-02-01,7.318539548567902,7.318543759200546,0.0,0.0,0.0,-4.210632644330303e-06
1969-03-01,7.317876198626496,7.317873036073832,0.0,0.0,0.0,3.162552663305007e-06
1969-04-01,7.233455418621439,7.233464803677729,0.0,0.0,0.0,-9.385056290334148e-06
1969-05-01,7.397561535524052,7.397552429450484,0.0,0.0,0.0,9.106073568077022e-06
1969-06-01,7.32052696227274,7.320531052136761,0.0,0.0,0.0,-4.089864020784262e-06
1969-07-01,7.351799869057777,7.351800369957109,0.0,0.0,0.0,-5.008993326782729e-07
1969-08-01,7.396335293800808,7.39633241159599,0.0,0.0,0.0,2.8822048179222293e-06
1969-09-01,7.364547014255642,7.364549944551433,0.0,0.0,0.0,-2.9302957909038696e-06
1969-10-01,7.410347097821024,7.410355330453032,0.0,0.0,0.0,-8.23263200810942e-06
1969-11-01,7.674152921281675,7.674142888522652,0.0,0.0,0.0,1.0032759023559379e-05
1969-12-01,7.672292455628756,7.672284830170773,0.0,0.0,0.0,7.625457982385342e-06
1970-01-01,7.468513271496337,7.468521245980806,0.0,0.0,0.0,-7.974484469208676e-06
1970-02-01,7.475905969367397,7.475904649137256,0.0,0.0,0.0,1.3202301412107431e-06
1970-03-01,7.448333860897476,7.448331232452147,0.0,0.0,0.0,2.628445328944906e-06
1970-04-01,7.351158226430694,7.35116230589828,0.0,0.0,0.0,-4.079467585960117e-06
1970-05-01,7.362010551259734,7.36200879953537,0.0,0.0,0.0,1.7517243637854563e-06
1970-06-01,7.326465613840322,7.326473445722324,0.0,0.0,0.0,-7.831882001596568e-06
1970-07-01,7.498315870766981,7.4983092763880554,0.0,0.0,0.0,6.59437892558401e-06
1970-08-01,7.495541943884256,7.495540309847692,0.0,0.0,0.0,1.6340365647238286e-06
1970-09-01,7.449498005382849,7.449505612574006,0.0,0.0,0.0,-7.607191156999704e-06
1970-10-01,7.60489448081162,7.604892775357272,0.0,0.0,0.0,1.7054543475225614e-06
1970-11-01,7.715123603632105,7.715123219993579,0.0,0.0,0.0,3.8363852628009454e-07
1970-12-01,7.815207062189088,7.815195751689929,0.0,0.0,0.0,1.1310499158589948e-05
1971-01-01,7.615791072035833,7.615790889952495,0.0,0.0,0.0,1.8208333774083485e-07
1971-02-01,7.411556287811163,7.411564857855082,0.0,0.0,0.0,-8.570043918965098e-06
1971-03-01,7.4342573821331355,7.434254930729625,0.0,0.0,0.0,2.4514035104061804e-06
1971-04-01,7.392031567514591,7.392037175648702,0.0,0.0,0.0,-5.608134110879348e-06
1971-05-01,7.498315870766981,7.498310602244983,0.0,0.0,0.0,5.26852199822514e-06
1971-06-01,7.465082736399547,7.465085036529926,0.0,0.0,0.0,-2.3001303786074345e-06
1971-07-01,7.492760300922379,7.492761915578579,0.0,0.0,0.0,-1.6146561998553466e-06
1971-08-01,7.563200592358071,7.563191375493972,0.0,0.0,0.0,9.216864099492739e-06
