,mean,lower,upper
1985-01-01,7.482678334727841,7.216170251549523,7.7491864179061585
1985-02-01,7.482678334727841,7.105786105674917,7.859570563780765
1985-03-01,7.482678334727841,7.021084415528744,7.944272253926938
1985-04-01,7.482678334727841,6.949677265157916,8.015679404297765
1985-05-01,7.482678334727841,6.886766148173661,8.07859052128202
1985-06-01,7.482678334727841,6.829890062770628,8.135466606685053
1985-07-01,7.482678334727841,6.777587048491807,8.187769620963875
1985-08-01,7.482678334727841,6.728904551788234,8.236452117667447
1985-09-01,7.482678334727841,6.683180923995207,8.282175745460476
1985-10-01,7.482678334727841,6.6399344212586975,8.325422248196984
1985-11-01,7.482678334727841,6.598801365002762,8.36655530445292
1985-12-01,7.482678334727841,6.559499212600673,8.40585745685501
1986-01-01,7.482678334727841,6.5218032723744725,8.443553397081208
1986-02-01,7.482678334727841,6.485531364931668,8.479825304524015
1986-03-01,7.482678334727841,6.450533348161132,8.51482332129455
1986-04-01,7.482678334727841,6.416683744114975,8.548672925340707
1986-05-01,7.482678334727841,6.383876413935475,8.581480255520207
1986-06-01,7.482678334727841,6.352020625667272,8.61333604378841
1986-07-01,7.482678334727841,6.321038093956545,8.644318575499137
1986-08-01,7.482678334727841,6.290860713235234,8.674495956220447
1986-09-01,7.482678334727841,6.2614287955994135,8.703927873856268
1986-10-01,7.482678334727841,6.23268968248235,8.732666986973332
1986-11-01,7.482678334727841,6.20459663754898,8.760760031906702
1986-12-01,7.482678334727841,6.17710795417201,8.788248715283672
